hovedtype_rute;Central Norway;Eastern Norway;Northern Norway;Southern Norway;Western Norway;NA
;57;NA;NA;NA;NA;NA
;NA;26;NA;NA;NA;NA
;NA;NA;100;NA;NA;NA
;NA;NA;NA;34;NA;NA
;NA;NA;NA;NA;39;NA
;NA;NA;NA;NA;NA;44
F;2;NA;NA;NA;NA;NA
F;NA;NA;4;NA;NA;NA
F;NA;NA;NA;NA;2;NA
I1;NA;NA;2;NA;NA;NA
I1;NA;NA;NA;NA;105;NA
L;1;NA;NA;NA;NA;NA
L;NA;1;NA;NA;NA;NA
L;NA;NA;NA;1;NA;NA
L4;NA;NA;7;NA;NA;NA
T;NA;NA;NA;5;NA;NA
T1;33;NA;NA;NA;NA;NA
T1;NA;24;NA;NA;NA;NA
T1;NA;NA;140;NA;NA;NA
T1;NA;NA;NA;14;NA;NA
T1;NA;NA;NA;NA;141;NA
T1;NA;NA;NA;NA;NA;3
T12;2;NA;NA;NA;NA;NA
T12;NA;NA;1;NA;NA;NA
T13;16;NA;NA;NA;NA;NA
T13;NA;27;NA;NA;NA;NA
T13;NA;NA;42;NA;NA;NA
T13;NA;NA;NA;4;NA;NA
T13;NA;NA;NA;NA;15;NA
T14;19;NA;NA;NA;NA;NA
T14;NA;40;NA;NA;NA;NA
T14;NA;NA;84;NA;NA;NA
T14;NA;NA;NA;9;NA;NA
T14;NA;NA;NA;NA;14;NA
T16;2;NA;NA;NA;NA;NA
T16;NA;NA;11;NA;NA;NA
T16;NA;NA;NA;NA;3;NA
T17;NA;NA;NA;NA;1;NA
T18;NA;NA;8;NA;NA;NA
T19;NA;NA;4;NA;NA;NA
T2;52;NA;NA;NA;NA;NA
T2;NA;11;NA;NA;NA;NA
T2;NA;NA;19;NA;NA;NA
T2;NA;NA;NA;23;NA;NA
T2;NA;NA;NA;NA;88;NA
T20;NA;NA;3;NA;NA;NA
T21;NA;NA;1;NA;NA;NA
T22;9;NA;NA;NA;NA;NA
T22;NA;14;NA;NA;NA;NA
T22;NA;NA;28;NA;NA;NA
T22;NA;NA;NA;5;NA;NA
T24;NA;NA;NA;NA;1;NA
T25;NA;NA;NA;NA;3;NA
T26;NA;NA;15;NA;NA;NA
T26;NA;NA;NA;NA;18;NA
T27;29;NA;NA;NA;NA;NA
T27;NA;43;NA;NA;NA;NA
T27;NA;NA;141;NA;NA;NA
T27;NA;NA;NA;2;NA;NA
T27;NA;NA;NA;NA;21;NA
T27;NA;NA;NA;NA;NA;1
T29;NA;NA;2;NA;NA;NA
T3;235;NA;NA;NA;NA;NA
T3;NA;329;NA;NA;NA;NA
T3;NA;NA;725;NA;NA;NA
T3;NA;NA;NA;45;NA;NA
T3;NA;NA;NA;NA;191;NA
T3;NA;NA;NA;NA;NA;2
T30;NA;3;NA;NA;NA;NA
T30;NA;NA;NA;2;NA;NA
T31;53;NA;NA;NA;NA;NA
T31;NA;77;NA;NA;NA;NA
T31;NA;NA;87;NA;NA;NA
T31;NA;NA;NA;14;NA;NA
T31;NA;NA;NA;NA;26;NA
