elevation,vegClimZoneLab,ref
0-300,Alpin,0.0774247383445625
0-300,Boreonemoral,3.29494313362038
0-300,Mellomboreal,1.09080373722545
0-300,Nemoral,5.61293579598234
0-300,Nordboreal,0.731359319565511
0-300,Sørboreal,1.63104908371387
300-600,Alpin,0.193405136584752
300-600,Boreonemoral,2.26692986982126
300-600,Mellomboreal,1.09022272802004
300-600,Nordboreal,0.618224514926819
300-600,Sørboreal,4.18238342603677
600-900,Alpin,1.26269225705796
600-900,Mellomboreal,1.59322639035375
600-900,Nordboreal,0.956351355200442
600-900,Sørboreal,2.09992116007415
900-1200,Alpin,0.127197265625
900-1200,Mellomboreal,1.26489179348097
900-1200,Nordboreal,0.234559185660699
>1200,Mellomboreal,1.2540283203125
>1200,Sørboreal,12.3335571289062
